symbol,exchange,reason
PATELRMART.NS,NSE,not_found_on_yahoo
KSE.BO,BSE,not_found_on_yahoo
LINC.NS,NSE,not_found_on_yahoo
LINC.BO,BSE,not_found_on_yahoo
HLVLTD.BO,BSE,not_found_on_yahoo
HLVLTD.NS,NSE,not_found_on_yahoo
PRIMO.NS,NSE,not_found_on_yahoo
PRIMO.BO,BSE,not_found_on_yahoo
RITCO.NS,NSE,not_found_on_yahoo
RITCO.BO,BSE,not_found_on_yahoo
ESSARSHPNG.NS,NSE,not_found_on_yahoo
ESSARSHPNG.BO,BSE,not_found_on_yahoo
ENIL.NS,NSE,not_found_on_yahoo
VISAKAIND.NS,NSE,not_found_on_yahoo
VISAKAIND.BO,BSE,not_found_on_yahoo
SICALLOG.NS,NSE,not_found_on_yahoo
AZADIND.BO,BSE,not_found_on_yahoo
HTMEDIA.BO,BSE,not_found_on_yahoo
ENIL.BO,BSE,not_found_on_yahoo
HTMEDIA.NS,NSE,not_found_on_yahoo
IFINSEC.BO,BSE,not_found_on_yahoo
VINYLINDIA.NS,NSE,not_found_on_yahoo
GLOBAL.NS,NSE,not_found_on_yahoo
VISASTEEL.NS,NSE,not_found_on_yahoo
VINYLINDIA.BO,BSE,not_found_on_yahoo
ZEEMEDIA.NS,NSE,not_found_on_yahoo
GFLLIMITED.BO,BSE,not_found_on_yahoo
NIYOGIN.BO,BSE,not_found_on_yahoo
INTLCONV.BO,BSE,not_found_on_yahoo
ZEEMEDIA.BO,BSE,not_found_on_yahoo
INTLCONV.NS,NSE,not_found_on_yahoo
GFLLIMITED.NS,NSE,not_found_on_yahoo
IEML.NS,NSE,not_found_on_yahoo
DICIND.BO,BSE,not_found_on_yahoo
DICIND.NS,NSE,not_found_on_yahoo
FOODSIN.BO,BSE,not_found_on_yahoo
FOODSIN.NS,NSE,not_found_on_yahoo
SICALLOG.BO,BSE,not_found_on_yahoo
TERASOFT.BO,BSE,not_found_on_yahoo
TERASOFT.NS,NSE,not_found_on_yahoo
SINCLAIR.BO,BSE,not_found_on_yahoo
SINCLAIR.NS,NSE,not_found_on_yahoo
EMMIL.NS,NSE,not_found_on_yahoo
TRANSWORLD.NS,NSE,not_found_on_yahoo
GEE.BO,BSE,not_found_on_yahoo
TRANSWORLD.BO,BSE,not_found_on_yahoo
TIGERLOGS.BO,BSE,not_found_on_yahoo
FUNDVISER.BO,BSE,not_found_on_yahoo
AXITA.NS,NSE,not_found_on_yahoo
TIGERLOGS.NS,NSE,not_found_on_yahoo
AXITA.BO,BSE,not_found_on_yahoo
TICL.NS,NSE,not_found_on_yahoo
MEGASTAR.BO,BSE,not_found_on_yahoo
